NP-ID,molecular_name,molecular_formula,MW,XLogP,SMILES,InChIKey,Murcko_scaffold,Morgan_onbits_r2_n2048,id,p_antagonist,is_top_hit,UMAP1,UMAP2,density,inside_training_space
CNP0184775,,C19H24O4,316.3921798410685,3.697600000000003,CC(C)=CCCC(=CCc1cc(C=CC(=O)O)ccc1O)CO,XSKMCQAIAGIIAJ-UHFFFAOYSA-N,c1ccccc1,"[25, 80, 166, 222, 281, 311, 357, 389, 401, 441, 479, 571, 623, 650, 694, 740, 800, 807, 875, 976, 1012, 1017, 1020, 1039, 1057, 1209, 1257, 1336, 1349, 1380, 1475, 1501, 1537, 1564, 1574, 1582, 1602, 1607, 1664, 1750, 1834, 1873, 1917, 2033]",138628,0.9999718611505096,True,4.0203257,7.311479,0.005267188819710334,True
CNP0425319,,C21H27NO3,341.44477217558847,1.8181,C=C1CC23CC(=O)C4C5(C)CC(O)CC46C(C2C(=O)C1CC36)N(C)C5,NCYSDVOIDBHHIO-UHFFFAOYSA-N,C=C1CC23CC(=O)C4C5CCCC46C(NC5)C2C(=O)C1CC36,"[35, 68, 153, 275, 314, 317, 370, 380, 399, 470, 478, 486, 559, 568, 574, 590, 602, 611, 632, 650, 654, 679, 682, 807, 818, 870, 926, 935, 940, 1019, 1024, 1057, 1060, 1065, 1145, 1159, 1181, 1197, 1257, 1274, 1292, 1366, 1380, 1546, 1632, 1639, 1881, 1945, 1971, 2020]",356312,0.9999718570168712,True,1.5287012,7.8464313,0.003451168557857259,True
CNP0407979,,C13H21N5O3,295.33805330647374,-0.5952999999999995,CC(C)NCC(O)COc1nc2ncn(C)c2c(=O)n1C,MEEUHSCASLJTEB-UHFFFAOYSA-N,O=c1[nH]cnc2nc[nH]c12,"[1, 80, 118, 169, 227, 283, 314, 378, 394, 430, 463, 467, 504, 564, 600, 606, 650, 658, 695, 782, 807, 837, 932, 935, 984, 1028, 1057, 1145, 1147, 1152, 1307, 1380, 1409, 1440, 1452, 1517, 1574, 1802, 1855, 1869, 1873, 1928, 2030, 2038]",341794,0.9999718406009486,True,6.2140083,11.725474,0.006616146107642835,True
CNP0297882,,C18H16O9,376.31494255152114,2.4953000000000003,CC=Cc1cc2c(c(=O)o1)-c1c(O)c(O)c(OC)c(C(=O)O)c1C(OC)O2,ZORZPKUBRKXKSU-UHFFFAOYSA-N,O=c1occc2c1-c1ccccc1CO2,"[144, 166, 202, 314, 333, 337, 369, 389, 394, 453, 456, 503, 562, 586, 650, 656, 694, 695, 750, 796, 807, 827, 841, 844, 875, 937, 955, 1003, 1019, 1057, 1103, 1380, 1442, 1456, 1461, 1468, 1473, 1536, 1594, 1599, 1602, 1604, 1609, 1648, 1696, 1747, 1768, 1794, 1873, 1905, 1917]",241860,0.9999718380359952,True,1.2653745,6.0501623,0.002352396234385509,True
CNP0308650,,C37H48N2O12,712.7846499096985,0.819100000000005,CCN1CC2(OC(=O)c3ccccc3N3C(=O)CC(C)C3=O)CCC(OC)C34C2C(OC)C(O)(C13)C1(O)CC(OC)C2CC4(O)C1C2OC(C)=O,QRQAYVQOURYHFI-UHFFFAOYSA-N,O=C(OC12CCCC34C5CC6CCC(C5C6)C(CC13)C4NC2)c1ccccc1N1C(=O)CCC1=O,"[5, 34, 52, 80, 145, 153, 158, 183, 231, 249, 255, 265, 278, 294, 314, 328, 433, 448, 521, 547, 553, 564, 578, 580, 602, 622, 650, 674, 679, 682, 695, 705, 714, 733, 747, 758, 787, 798, 807, 841, 897, 908, 926, 935, 937, 1017, 1019, 1035, 1057, 1060, 1088, 1126, 1153, 1154, 1162, 1199, 1233, 1295, 1309, 1325, 1347, 1352, 1380, 1391, 1392, 1437, 1445, 1447, 1450, 1647, 1650, 1671, 1686, 1723, 1750, 1753, 1813, 1873, 1891, 1917, 1950, 1991, 2022]",251696,0.9999718218107136,True,5.3428802,6.339814,0.005545820285620572,True
CNP0333461,,C18H31NO4,325.443732428097,2.831600000000001,CCCCC(C)C=C(C)C(O)C(C)C(=O)N1CCCC1C(=O)O,UUFOMZNZQYHUJH-UHFFFAOYSA-N,C1CCNC1,"[1, 54, 80, 108, 193, 227, 242, 283, 294, 354, 389, 446, 488, 506, 531, 549, 591, 650, 694, 739, 794, 807, 833, 926, 935, 1017, 1019, 1028, 1042, 1057, 1152, 1217, 1325, 1328, 1411, 1431, 1443, 1480, 1559, 1583, 1605, 1608, 1832, 1911, 1917]",274401,0.999971821318306,True,8.398943,9.231139,0.005657970965162848,True
CNP0468769,,[C31H46N2O7]+,558.7073283834721,2.955690000000001,CCC(CO)CCC(CC(CC[C]1[CH][C](OC2CCCC2)[C](O)[CH][C]1[C]1[CH][CH][NH2+][C](N)[CH]1)OC(C)=O)OC(C)=O,UBDAVJRIWZKMBC-UHFFFAOYSA-N,[CH]1[CH][C]([C]2[CH][CH][C](OC3CCCC3)[CH][CH]2)[CH][CH][NH2+]1,"[1, 21, 39, 69, 76, 80, 81, 119, 125, 222, 251, 294, 297, 358, 468, 482, 524, 556, 560, 625, 646, 650, 680, 695, 739, 807, 845, 852, 890, 908, 926, 1017, 1019, 1024, 1028, 1035, 1057, 1078, 1147, 1152, 1171, 1218, 1224, 1243, 1254, 1322, 1325, 1380, 1394, 1420, 1431, 1457, 1499, 1532, 1544, 1554, 1602, 1650, 1651, 1685, 1762, 1833, 1873, 1908, 1917, 1976, 2015]",396953,0.9999717780987648,True,9.256383,6.9332633,0.0038546124133639927,True
CNP0361270,,C26H21NO6,443.44902191928185,4.681900000000004,O=C(CCNC(=O)OCc1ccccc1)Oc1ccc2c(-c3ccccc3)cc(=O)oc2c1,NIBGOVUZKQSLCH-UHFFFAOYSA-N,O=C(CCNC(=O)OCc1ccccc1)Oc1ccc2c(-c3ccccc3)cc(=O)oc2c1,"[14, 16, 80, 147, 197, 222, 314, 322, 352, 363, 389, 406, 555, 650, 656, 667, 695, 718, 736, 745, 807, 852, 875, 1013, 1038, 1066, 1088, 1152, 1160, 1199, 1208, 1262, 1280, 1357, 1380, 1386, 1564, 1604, 1729, 1733, 1750, 1754, 1758, 1803, 1808, 1827, 1873, 1914, 1917, 1924, 2020, 2030, 2042]",299265,0.999971773990576,True,6.614138,11.280272,0.007270156556012436,True
CNP0350675,,C20H16O8,384.3370094175278,3.2041000000000013,CCOC(=O)c1c(C(=O)O)cc2cc(O)c(O)cc2c1-c1ccc(O)c(O)c1,UXYBOKFGDGNVEZ-UHFFFAOYSA-N,c1ccc(-c2cccc3ccccc23)cc1,"[54, 80, 145, 147, 294, 315, 389, 456, 586, 589, 650, 695, 759, 807, 846, 875, 896, 964, 972, 1047, 1057, 1072, 1160, 1238, 1282, 1357, 1380, 1415, 1475, 1602, 1607, 1656, 1700, 1722, 1747, 1750, 1776, 1855, 1873, 1917, 1991, 2021]",289732,0.9999717089244284,True,1.2659552,6.033485,0.002344843775206893,True
CNP0188098,,C26H26O5,418.48261755380537,6.201300000000005,COc1c2c(cc3occ(-c4ccc(OC=CC(C)C)cc4)c(=O)c13)OC(C)(C)C=C2,HPZPFWXCCAZKRE-UHFFFAOYSA-N,O=c1c(-c2ccccc2)coc2cc3c(cc12)C=CCO3,"[1, 6, 53, 113, 212, 222, 249, 273, 283, 304, 314, 322, 333, 352, 384, 398, 465, 483, 525, 547, 552, 602, 650, 656, 690, 694, 695, 718, 767, 787, 841, 875, 896, 1057, 1060, 1134, 1146, 1160, 1233, 1274, 1282, 1301, 1314, 1380, 1405, 1411, 1424, 1536, 1599, 1750, 1787, 1808, 1873, 1885, 1905, 1984, 2040]",141638,0.9999716980838026,True,4.731961,7.571184,0.005701977186061322,True
CNP0348378,,C23H30O8,434.4803876614528,3.014320000000001,CCCC(=O)c1c(O)c(C)c(O)c(CC2C(=O)C(C(=O)CC)=C(O)C(C)(C)C2O)c1O,FOBMFUGLGLMWEM-UHFFFAOYSA-N,O=C1C=CCCC1Cc1ccccc1,"[80, 118, 142, 188, 202, 252, 266, 276, 294, 314, 353, 355, 366, 367, 437, 458, 577, 586, 650, 794, 807, 829, 898, 1019, 1024, 1035, 1057, 1060, 1257, 1274, 1357, 1380, 1387, 1564, 1591, 1602, 1693, 1722, 1792, 1796, 1856, 1874, 1917, 2029, 2034]",287659,0.9999716980314696,True,1.6874195,6.2094116,0.002824859999525411,True
CNP0083233,,C48H96NO13P,926.2503643085377,8.177400000000008,CCCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1O)C(O)C(O)CCCCCCCCCCCCCC,WHEIQLYBLPWARO-UHFFFAOYSA-N,C1CCCCC1,"[1, 46, 80, 110, 117, 118, 192, 227, 264, 294, 371, 486, 510, 573, 575, 591, 596, 643, 650, 695, 739, 751, 794, 807, 811, 829, 888, 980, 1019, 1037, 1044, 1057, 1143, 1152, 1257, 1283, 1399, 1444, 1487, 1543, 1563, 1600, 1711, 1716, 1769, 1838, 1911, 1917, 1950]",50950,0.9999716818357708,True,8.64321,9.627495,0.005454604061489832,True
CNP0446629,,C27H28O7,464.5080448133838,6.207300000000005,COc1cc2oc3c(OC)c(-c4cc(CC=C(C)C)c(O)c(OC)c4)cc(OC)c3c2cc1O,GOHMLWIGJCWNSA-UHFFFAOYSA-N,c1ccc(-c2ccc3c(c2)oc2ccccc23)cc1,"[40, 80, 118, 133, 202, 249, 273, 280, 286, 333, 352, 406, 479, 495, 614, 618, 623, 656, 657, 667, 694, 695, 754, 807, 822, 841, 845, 875, 900, 929, 1017, 1057, 1160, 1251, 1257, 1349, 1357, 1380, 1429, 1536, 1582, 1598, 1599, 1602, 1604, 1607, 1776, 1808, 1873, 1970, 1984, 2021]",374950,0.9999716750374948,True,13.149393,8.830099,0.000364557521662266,False
CNP0341164,,C24H20O4,372.41409630970526,5.078720000000003,CCc1c(C)c2ccc(OCC(=O)c3ccc4ccccc4c3)cc2oc1=O,AYMFLMQGGSGSRU-UHFFFAOYSA-N,O=C(COc1ccc2ccc(=O)oc2c1)c1ccc2ccccc2c1,"[80, 93, 188, 203, 252, 294, 305, 314, 322, 406, 591, 596, 598, 650, 656, 679, 695, 718, 807, 875, 1057, 1087, 1088, 1199, 1357, 1380, 1385, 1452, 1465, 1468, 1501, 1533, 1577, 1604, 1693, 1697, 1722, 1733, 1750, 1799, 1803, 1808, 1855, 1873, 1887, 1917, 1950, 2004, 2034]",281241,0.9999716710899283,True,6.5994596,8.364513,0.006399091875831995,True
CNP0083170,,C42H70O11,751.0002146361644,7.554200000000009,CCCCCCCCCCCCCCCC(=O)OC1CCC(C)(OC(C)=O)C2OC(CC1(C)O)C1C2C(C(C)C)C(OC(C)=O)C(OC(C)=O)C12CO2,CRUQATXTOIHPSF-UHFFFAOYSA-N,C1CCCC2OC(CC1)C1CCCC3(CO3)C21,"[1, 6, 80, 220, 249, 253, 283, 294, 451, 477, 497, 521, 564, 591, 650, 656, 665, 671, 679, 682, 695, 788, 794, 807, 824, 854, 926, 947, 1002, 1009, 1017, 1019, 1029, 1035, 1057, 1060, 1126, 1143, 1153, 1154, 1162, 1173, 1180, 1224, 1267, 1274, 1303, 1322, 1325, 1386, 1391, 1399, 1437, 1444, 1564, 1573, 1721, 1753, 1772, 1784, 1819, 1838, 1911, 1917, 1921, 1950, 1971, 1991]",50901,0.9999716696409652,True,6.844224,5.5927176,0.0059942995730885035,True
CNP0406090,,C21H30N4O2S,402.5553841236424,2.5943,CCCS(=O)(=O)NCC1CC2CCN1CC2c1cc(-c2ccccc2)nn1C,IZYVVBMDXNJUMF-UHFFFAOYSA-N,c1ccc(-c2cc(C3CN4CCC3CC4)[nH]n2)cc1,"[80, 107, 144, 169, 191, 216, 280, 294, 350, 378, 389, 421, 455, 481, 510, 575, 585, 593, 607, 610, 650, 736, 739, 794, 875, 926, 935, 980, 1019, 1057, 1088, 1105, 1141, 1145, 1152, 1160, 1199, 1222, 1292, 1325, 1374, 1376, 1380, 1476, 1480, 1523, 1552, 1604, 1626, 1691, 1738, 1750, 1854, 1873, 1902, 1956, 1971]",340049,0.9999716517654376,True,8.062189,10.146772,0.006566500404792953,True
CNP0259484,,C38H64O2,552.9149821779331,11.08029999999999,CCCCCCCC(=O)OC1CCC2(C)C(CCC3(C)C2CC=C2C4CC(C)(C)CCC4(C)CCC23C)C1(C)C,SUBASHZRHCYISC-UHFFFAOYSA-N,C1=C2C3CCCCC3CCC2C2CCC3CCCCC3C2C1,"[22, 80, 249, 267, 294, 409, 418, 470, 478, 549, 555, 591, 598, 600, 650, 679, 682, 695, 781, 794, 807, 857, 889, 904, 926, 999, 1019, 1057, 1060, 1110, 1126, 1143, 1162, 1264, 1267, 1274, 1325, 1332, 1380, 1386, 1399, 1436, 1444, 1477, 1487, 1546, 1564, 1573, 1582, 1753, 1781, 1783, 1873, 1911, 1917, 1950, 1951, 1962, 2005, 2034]",206760,0.9999716512110652,True,8.884439,5.241809,0.005199778762855437,True
