NP-ID,molecular_name,molecular_formula,MW,XLogP,SMILES,InChIKey,Murcko_scaffold,p_antagonist,is_top_hit,UMAP1,UMAP2
CNP0158474,,C4H7IO2,214.00181171907136,0.9845,CCOC(=O)CI,MFFXVVHUKRKXCI-UHFFFAOYSA-N,,0.0050199050525677,False,7.185596,4.9572215
CNP0255686,,C20H26O8,394.4164169557857,2.1483,COC(=O)C1=CCC23CCC(C(C)(CCC(=O)O)OC2=O)C3(OC(C)=O)CC1,IQFROZIBHYYWNH-UHFFFAOYSA-N,O=C1OCC2CCC13CC=CCCC23,0.4491622865765065,False,6.2620015,5.924809
CNP0116037,,C24H34N6O2,438.5666762503436,1.479300000000001,CN(Cc1ccccc1)Cc1cn(CC2CC3CCN2CC3C(=O)N2CCOCC2)nn1,HMSVBHSYNVRDRR-UHFFFAOYSA-N,O=C(C1CN2CCC1CC2Cn1cc(CNCc2ccccc2)nn1)N1CCOCC1,0.0292328988319992,False,8.029069,2.2007413
CNP0265462,,C41H51NO11,733.8453076237224,3.7936000000000014,CCN1CC2(COC)C=CC(OC)C34C5CC6(O)C(OC)CC(OC(=O)c7ccc(OC)cc7)(C5C6OC(=O)c5ccc(OC)cc5)C(C(OC)C23)C14,SIMJMGSWMMIKTI-UHFFFAOYSA-N,O=C(OC1C2CCC3(OC(=O)c4ccccc4)C4CC5C6C=CCC5(C(C2)C13)C4NC6)c1ccccc1,0.9548032295532324,False,5.311147,8.170889
CNP0394759,,C22H33N5O11,543.5252048440304,-4.408699999999992,CN1CC(O)C(C(=O)O)N(C)C(=O)C1C(OC1CC(O)C(CN)O1)C1OC(n2ccc(=O)[nH]c2=O)CC1O,WHWRTLTXEHGDLK-UHFFFAOYSA-N,O=C1NCCCNC1C(OC1CCCO1)C1CCC(n2ccc(=O)[nH]c2=O)O1,0.725594843598734,False,8.688948,3.7657385
CNP0351558,,C27H36O9,504.5703806991289,1.4646,COc1c(C(C)C)cc(OC2OC(CO)C(O)C(O)C2O)c2c1CCC1C3=C(CCC21C)C(=O)OC3,VOKLQLLHNRTDFP-UHFFFAOYSA-N,O=C1OCC2=C1CCC1c3c(cccc3OC3CCCCO3)CCC21,0.0052405062032269,False,5.4242125,7.0972357
CNP0079268,,C20H14N4O2,342.3515111726038,3.0345000000000013,O=c1c2ccccc2nc2n1C1Cc3c([nH]c4ccccc34)C2N=C1O,AKUKYDWKVYUGHT-UHFFFAOYSA-N,O=c1c2ccccc2nc2n1C1C=NC2c2[nH]c3ccccc3c2C1,0.6314012015651551,False,2.1688492,10.081231
CNP0173166,,C48H78O21,991.1222053231924,-2.130399999999982,CC1CCC2(C(=O)OC3OC(COC4OC(CO)C(OOC5OC(C)C(O)C(O)C5O)C(O)C4O)C(O)C(O)C3O)CCC3(C)C(=CCC4C5(C)CC(O)C(O)C(C)(CO)C5C(O)CC43C)C2C1C,KXKQTIWNCRMOCJ-UHFFFAOYSA-N,O=C(OC1CCCC(COC2CCC(OOC3CCCCO3)CO2)O1)C12CCCCC1C1=CCC3C4CCCCC4CCC3C1CC2,5.236250202622663e-06,False,4.493008,-5.2928944
CNP0361008,,C19H19NO3,309.35977435140614,4.593620000000004,CCc1cc(-c2onc(C)c2-c2ccccc2)c(O)cc1OC,GEHDMJSLHWEEGE-UHFFFAOYSA-N,c1ccc(-c2cnoc2-c2ccccc2)cc1,0.9804548048732664,False,8.631548,9.907082
CNP0343706,,C43H69N13O14S,1024.1544512463406,-7.013600000000032,CC(C)C(N)C(=O)N1CCCC1C(=O)NCC(=O)NCC(=O)NC(CS)C(=O)NC(C(=O)NC(Cc1ccc(O)cc1)C(=O)NC(C(=O)NC(CCCN=C(N)N)C(=O)NC(C=O)CO)C(C)O)C(C)O,NAVBNQZIHYIONI-UHFFFAOYSA-N,O=C(CNC(=O)CNC(=O)CNC(=O)CNC(=O)C1CCCN1)NCCc1ccccc1,0.0032510500681647,False,-8.603222,14.047376
CNP0054910,,C19H20N2O4,340.3738232398373,2.3488000000000007,CN1CCN(Cc2c(O)ccc3c2OC(=Cc2ccco2)C3=O)CC1,VDEDKMULYVMFRJ-UHFFFAOYSA-N,O=C1C(=Cc2ccco2)Oc2c(CN3CCNCC3)cccc21,0.0391604925331503,False,7.1732116,6.8186765
CNP0024537,,C4H3Br3N2,318.7907561752514,2.7076,Cn1c(Br)nc(Br)c1Br,KAMDVXMJRMNDCQ-UHFFFAOYSA-N,c1c[nH]cn1,0.0009205533609444,False,1.8659608,9.2052765
CNP0303023,,C10H16O2,168.23322088423146,1.779,CC1CCC2(C(C)C)OC2C1=O,ROVXCLHKSQINCN-UHFFFAOYSA-N,O=C1CCCC2OC12,0.4651744217117681,False,4.577596,1.8966979
CNP0336357,,C36H51N5O8S,713.8863111782562,3.5645000000000016,CCC(C)C(Nc1ccc2c(cc1=O)C(NC(C)=O)CCc1cc(OC)c(OC)c(OC)c1-2)C(=O)N1CCCN(S(=O)(=O)N2CCCC2)CC1,NSLQTLOXDFARRQ-UHFFFAOYSA-N,O=C(CNc1ccc2c(cc1=O)CCCc1ccccc1-2)N1CCCN(S(=O)(=O)N2CCCC2)CC1,0.9841579323564006,False,6.2429996,9.187909
